Title	URL	Assignees	Status	Labels	Linked pull requests	Sprint	Reviewers	Timing	Estimation	Actual
Implement the appropriate JSON chunking technique	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/106	manikg08, preetvadaliya	Item Archive	data pipeline, sprint-06, storage		Sprint 06		independent	5	8
Present recent conversations	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/172	preetvadaliya	Item Archive	app backend, app frontend, external API, sprint-08	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/186	Sprint 08		independent	5	5
Save conversations in the DB	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/176	preetvadaliya	Item Archive	app backend, sprint-08, storage	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/185	Sprint 08		sprint-start	5	5
Add documents for sprint 08	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/206	tubamos	Item Archive	release: sprint-deliverables			eloinoel, EnescuDavid, lukas-varga, potthoffjan, preetvadaliya			
Create documentation on how the user can run the build and start testing the app	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/178	eloinoel	Item Archive	documentation, sprint-08	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/184	Sprint 08			5	5
Create dropdown UI for conversation options	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/175	eloinoel, lukas-varga	Item Archive	app frontend, sprint-08	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/192	Sprint 08		sprint-start	5	5
Create UI components to allow user to manually store custom instructions	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/181	EnescuDavid, potthoffjan	Item Archive	app frontend, question, sprint-08	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/189, https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/195	Sprint 08		independent	8	8
Integrate the app components with the navigation components	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/191	eloinoel, preetvadaliya	Item Archive	app frontend	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/186, https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/190	Sprint 08		sprint-mid	5	5
Create components for the chat screen	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/154	lukas-varga, potthoffjan	Item Archive	app frontend, sprint-07	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/171	Sprint 07		sprint-start	8	8
Create components for basic visual navigation	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/153	eloinoel, lukas-varga	Item Archive	app frontend, sprint-07	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/170	Sprint 07		sprint-start	8	8
Add a logging functionality for failed scrapping tasks	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/159	EnescuDavid	Item Archive	data pipeline, sprint-07	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/173	Sprint 07			5	5
Add documents for sprint 07	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/180	tubamos	Item Archive	release: sprint-deliverables, sprint-07			eloinoel, lukas-varga, potthoffjan, preetvadaliya			
Create short video as status update for IP and the Mid-Project product demo	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/124	lukas-varga, preetvadaliya	Item Archive	documentation, sprint-07	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/182	Sprint 07		sprint-end	3	3
