Title	Assignees	Status
Epic: Minimize time expenditure through meetings		In Progress
Focus during meetings		In Progress
Reduce background noice		In Progress
Developer Reference		In Progress
Set up routine meetup times		In Progress
Shorter fixed time meetings		In Progress
E-Mail updates instead of in-meeting discussions		In Progress
How to deal with mid-sprint changes?		In Progress
Unit Tests		In Progress
Team members not reading my feedback emails		In Progress
Quality over quantity of meetings		In Progress
More integration work and / or closer collaboration		In Progress
Unused code and files		In Progress
Have Pizza when the project is done :-)		In Progress
Have public agendas for meetings		Done
Prepare for Mid-Project review		Done
Define rough time frames for every meeting		Done
Form pair programming teams according to skillsets and motivations		Done
Dependent tasks		Todo
Unplanned tasks are being completed		Todo
License Declarations?		Todo
Impediment: Android Emulator		Todo
Impediment: React Native		Todo
-------------------- divider -------------------- (items below this line still need refinement)		Todo
Agree on a meeting culture		Done
Pair programming for selected issues only		Done
Start working on deliverables early		Done
Establish PR review pattern		Done
